"Player","Team","ATT","YDS","TDS","REC","YDS","TDS","FL","FPTS"
"Joe Williams","SF","71.2","297.6","1.8","14.6","109.7","0.4","1.9","50.5"
"Marlon Mack","IND","57.1","229.2","1.6","18.3","142.1","0.6","1.3","47.7"
"Donnel Pumphrey","PHI","63.9","256.9","1.2","17.3","129.3","0.3","1.4","44.7"
"Devontae Booker","DEN","72.1","278.8","1.4","16.1","128.0","0.6","3.8","44.5"
"Damien Williams","MIA","42.7","157.0","1.2","18.6","161.5","1.5","1.7","44.3"
"Alfred Morris","DAL","67.1","281.0","1.7","6.3","40.3","0.2","0.6","42.3"
"James Conner","PIT","55.6","226.5","2.1","9.8","74.7","0.2","0.9","41.6"
"Chris Johnson","ARI","64.1","263.4","1.6","5.1","39.9","0.2","1.5","37.8"
"Tarik Cohen","CHI","45.4","199.1","1.2","15.7","127.1","0.3","1.9","37.8"
"Zach Zenner","DET","46.4","175.3","1.7","11.9","101.2","0.1","0.3","37.7"
"Marcel Reece","SEA","10.0","20.0","0.1","26.0","278.0","1.1","0.0","37.0"
"Wendell Smallwood","PHI","61.9","254.3","1.3","8.8","65.2","0.1","2.4","35.6"
"Kyle Juszczyk","SF","6.3","25.3","0.3","27.5","217.7","1.5","0.0","34.9"
"Branden Oliver","LAC","50.6","191.9","1.0","12.8","104.4","0.4","1.9","34.0"
"Orleans Darkwa","NYG","45.1","168.9","1.6","10.7","76.0","0.3","1.5","32.7"
"Elijah McGuire","NYJ","42.9","176.7","1.0","12.2","94.9","0.2","1.5","31.3"
"Chris Ivory","JAC","55.9","218.0","1.7","10.2","78.9","0.1","4.8","30.5"
"Kenyan Drake","MIA","41.7","178.1","1.0","9.8","71.7","0.2","1.3","29.5"
"Andre Ellington","ARI","24.8","101.5","0.7","15.0","122.6","0.4","0.1","28.5"
"Wayne Gallman","NYG","46.8","180.1","1.1","8.9","68.5","0.1","1.8","28.4"
"Jeremy Langford","CHI","37.8","150.5","0.9","8.6","68.5","0.3","0.3","28.3"
"Mike Tolbert","BUF","32.9","129.8","0.9","9.5","69.0","0.5","0.3","27.9"
"Alfred Blue","HOU","45.8","181.5","0.9","9.8","64.6","0.2","1.7","27.7"
"Lance Dunbar","LAR","25.4","101.7","0.7","13.2","107.0","0.5","0.7","26.2"
"Aaron Ripkowski","GB","22.0","105.7","1.6","7.7","56.7","0.5","1.7","25.6"
"Aaron Jones","GB","33.1","133.8","0.9","6.2","49.3","0.1","0.1","24.4"
"Elijah Hood","OAK","34.6","144.3","1.3","5.2","40.7","0.2","1.5","24.2"
"John Kuhn","NO","9.9","29.3","1.7","10.4","62.4","0.3","0.0","21.4"
"Kerwynn Williams","ARI","20.0","92.9","0.7","5.9","46.0","0.1","0.2","18.3"
"Brian Hill","ATL","24.6","98.6","0.9","3.1","23.7","0.1","0.1","17.7"
"Charcandrick West","KC","27.9","103.7","0.7","6.9","52.9","0.2","1.8","17.4"
"Benny Cunningham","CHI","19.1","81.5","0.4","11.5","88.6","0.2","1.6","16.9"
"Malcolm Brown","LAR","24.8","92.4","0.5","7.5","54.7","0.1","0.8","16.7"
"Javorius Allen","BAL","25.0","95.0","0.5","5.3","37.6","0.1","0.2","16.5"
"Andre Williams","LAC","26.6","98.5","0.6","2.0","17.0","0.1","0.0","15.6"
"De'Angelo Henderson","DEN","21.5","81.2","0.4","4.8","49.4","0.0","0.1","15.0"
"Matt Asiata","DET","15.6","57.9","0.8","5.8","45.9","0.0","0.1","15.0"
"Cameron Artis-Payne","CAR","18.8","74.9","0.9","1.4","15.8","0.0","0.2","13.9"
"Shaun Draughn","NYG","19.6","73.8","0.4","5.2","40.2","0.1","0.2","13.8"
"Jamize Olawale","OAK","10.3","40.0","0.3","6.1","59.7","0.3","0.0","13.7"
"Kenjon Barner","LAC","23.1","86.9","0.6","5.7","43.0","0.2","2.1","13.5"
"Kenneth Farrow","LAC","19.9","70.7","0.7","4.8","32.8","0.0","0.4","13.5"
"Ka'Deem Carey","CHI","22.2","84.9","0.4","2.9","25.3","0.0","0.2","13.1"
"Andy Janovich","DEN","5.3","27.2","0.6","7.2","57.0","0.1","0.0","13.0"
"Dwayne Washington","DET","19.3","71.2","0.4","3.6","23.8","0.0","0.1","11.6"
"Travaris Cadet","NO","3.9","15.8","0.0","12.1","90.5","0.2","0.2","11.4"
"Jeremy McNichols","TB","16.3","63.7","0.2","5.1","38.1","0.1","0.3","11.4"
"Fitzgerald Toussaint","PIT","16.4","62.1","0.1","4.6","40.2","0.0","0.1","10.9"
"Brandon Wilds","CLE","15.2","56.4","0.4","3.2","27.7","0.0","0.1","10.7"
"Lorenzo Taliaferro","BAL","13.5","49.8","0.4","4.0","25.5","0.1","0.1","10.2"
"Fozzy Whittaker","CAR","12.6","53.7","0.2","3.8","31.0","0.0","0.2","9.6"
"Terron Ward","ATL","15.2","64.9","0.1","2.9","25.3","0.0","0.1","9.6"
"Tyler Ervin","HOU","5.4","20.8","0.1","6.7","55.1","0.2","0.0","9.5"
"Alex Collins","SEA","13.3","53.3","0.3","2.7","24.4","0.0","0.5","8.3"
"Devante Mays","GB","10.0","41.0","0.3","2.0","16.0","0.1","0.1","7.9"
